路線名稱	公車代碼
0東	0100000A00
0南	0100000B00
棕18	114001800
棕19	114001900
棕20	114002000
棕21	114002100
棕22	114002200
橘1	415000100
橘2	415000200
橘3	415000300
橘5	415000500
橘9	415000900
橘10	415001000
橘12	415001200
橘13	415001300
橘17	415001700
橘18	415001800
橘18福隆路	415001870
橘19	415001900
橘19副	415001910
橘20	415002000
橘21	415002100
橘22	415002200
橘25	415002500
橘26	415002600
安坑1線	421000100
安坑2線	421000200
安坑3線	421000300
安坑5線	421000500
安坑6線	421000600
小1	151000100
小1區	151000120
小2	151000200
小2區	151000220
小3	151000300
小5	151000500
小5區	151000520
小6	151000600
小7	151000700
小8	151000800
小8區	151000820
小9(台灣好行-北投竹子湖)	151000900
小9區	151000920
小10	151001000
小10區	151001020
小11	151001100
小12	151001200
小14	151001400
小15	151001500
小15區	151001520
小16	151001600
小17	151001700
小18	151001800
小19	151001900
小21	151002100
小22	151002200
小23	151002300
小25	151002500
小26	151002600
小28	151002800
小30	151003000
小36	151003600
小39	151003900
907通勤	100090790
通勤7	162000700
通勤9	162000900
通勤11	152003500
通勤12	152003600
通勤13	152003700
通勤16	152003800
通勤18	152004500
通勤21	152004400
通勤22	152004200
通勤24	152004700
通勤25	152004900
通勤26	152005000
通勤27	152005100
通勤28	152005200
通勤29	152005300
市民小巴1	153000100
市民小巴2	153000200
市民小巴5	153000500
市民小巴6	153000600
市民小巴7	153000700
市民小巴8	153000800
市民小巴9	153000900
市民小巴10	153001000
市民小巴11	153001100
市民小巴12	153001200
市民小巴15	153001500
市民小巴16	153001600
市民小巴17	153001700
市民小巴18	153001800
F101坪頂	454010100
F101樹興	454010170
F102	454010200
F103	454010300
F105	454010500
F105反	454010590
F106	454010690
F109	454010900
F121	454012100
F122	454012200
F123-0640、0700	454012380
F123-1205	454012390
F123-1550	454012370
F126	454012600
F126江厝	454012670
F126經里中	454012690
F131	454013100
F132	454013200
F132經青山	454013210
F133平日	454013300
F133假日	454013360
F133末班	454013380
F135	454013500
F136	454013600
F137	454013700
F138內橫山	454013800
F138新古庄	454013870
F139行經101線	454013970
F139行經台2線	454013900
F151-0605	454015180
F151-0620	454015100
F151-0655、1030	454115100
F151-0730	454015110
F151-0800	454015190
F151-0830、1655	454015170
F151-0930	454015120
F151-1000	454015130
F151-1605	454015140
F151-1625	454015150
F151-1730	454215100
F151-1800	454015160
F152-0600	454015280
